Timestamp,In which region are you located?,"What is your primary, current technical domain?","During the last 6 months, how much of your work time have you spent writing or reviewing code or documentation?",Which sector best describes your organization?,What size is your organization?,"When evaluating technical tools for use in a project, how heavily do you and/or your team weigh whether a software option was open-source vs. proprietary?","In the past 6 months, how often have you used open-source software for subsurface or other technical processing, modeling, or analysis?","Thinking about the open-source subsurface toolset you used in the past 6 months, what were the main reasons for choosing it over a proprietary alternative?","In the past 6 months, have you encountered a workflow-breaking bug or security vulnerability in a subsurface open-source tool that delayed your project?","Are you a core contributor to any open source repositories? (In any domain, not only subsurface.)

A 'core contributor' is someone with administrative or write access to the repository. This includes the role of 'maintainer'.","Of the repositories to which you are a core contributor, are any of the projects related to subsurface?","Thinking about the primary subsurface open source project you contribute to, how many other core contributors are there on that project?","Again thinking about this project, how was your time accounted for?","Again thinking about this project, what was the primary funding mechanism keeping the subsurface open-source tools you maintain or help maintain afloat?","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Shipping features]","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Fixing bugs]","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Reviewing contributions]","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Getting recognition]","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Contributors' use of AI]","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Your project's use of AI]","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Upstream supply chain attacks]","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Your project(s) being attacked]","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Project administration]","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Community management]","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Funding the work]","Looking ahead to the next 6 to 12 months as a core contributor or maintainer, how do you feel about the following aspects: [Strategic planning]","In the past 6 months, how many pull requests (PRs), code commits, or documentation fixes have you submitted to open-source repositories to which you are not a core contributor?","In the past 6 months, what have been the barriers to contributing code or documentation back to the subsurface tools you use?","Thinking about your contributions in the last 6 months, what proportion of them were submitted to subsurface open-source repositories?","In the past 6 months, what kind of contribution(s) have you made? Check all that apply.","How often do you use AI assistants or agentic tools in your work? For example, for help with research, brainstorming, translation, or coding.",To what extent do you trust the assistance of AI assistants and agentic tools?,"In the past 6 months, have you used AI code assistants (e.g., Copilot, ChatGPT, Claude) to write, debug, or document code meant for subsurface open-source applications?","How concerned are you about the security, copyright, or intellectual property (IP) risks of AI-assisted code being merged into open-source repositories your organization depends on?","How concerned are you about the security, copyright, or intellectual property (IP) risks of AI-assisted code being merged into open-source repositories your organization produces?","To what extent do you agree with this statement: ""AI code assistants are lowering the barrier for non-programmers to make use of subsurface open source projects.""","To what extent do you agree with this statement: ""AI code assistants are lowering the barrier for non-programmers to contribute to subsurface open source projects.""","In the past 6 months, how would you characterize your organizational leadership’s general attitude toward adopting open-source software?",Which of the following actions has your organization taken? Select all that apply.,"In the last 6 months, and to the best of your knowledge, have any of your projects been affected by an upstream dependency doing any of the following: [Changing its license]","In the last 6 months, and to the best of your knowledge, have any of your projects been affected by an upstream dependency doing any of the following: [Being forked]","In the last 6 months, and to the best of your knowledge, have any of your projects been affected by an upstream dependency doing any of the following: [Being deprecated]","In the last 6 months, and to the best of your knowledge, have any of your projects been affected by an upstream dependency doing any of the following: [Being attacked or infected]","Based on your observations in the past 6 months, how sustainable do you consider the maintenance health of the subsurface open-source ecosystem?",That's the end of the survey. Is there anything you'd like to share?
5/18/2026 13:52:51,Europe,"Software engineering, computer science, data science",Between 20% and 50%,Operating company,10 000 or more employees,Lean toward open-source options,Daily,"Cost / No licensing fees, Extensibility (ability to write custom plugins/scripts)",No,"Yes, more than one","Yes, all of them",One other,Fully supported and done during my paid organizational working hours,"A single industry source, eg private company",So-so,Hopeful,Nervous,Nervous,Nervous,Anxious or exposed,Nervous,So-so,Nervous,So-so,Hopeful,So-so,None,"No barriers, or the need did not arise",,,Weekly,4,"Yes, occasionally",4,3,4,2,"Supportive but passive (Permitted, but not actively strategized)",None of the above,"Yes, with negative effects on us",No,"Yes, with no effect on us",No,Fragile / At risk of severe maintainer burnout or code rot,
5/18/2026 16:26:51,North America,geoscience and data science,More than 50%,Operating company,1000 to 9999 employees,Lean toward open-source options,Daily,"Extensibility (ability to write custom plugins/scripts), Better interoperability and alignment with open data standards",No,No,,,,,,,,,,,,,,,,,None,"No barriers, or the need did not arise",,,Daily,3,"Yes, occasionally",3,1,5,2,"Supportive but passive (Permitted, but not actively strategized)",None of the above,No,No,No,No,Moderately sustainable (Stable but reliant on a few key individuals/companies),thank you for doing this
5/18/2026 18:38:12,South America,"Applied sciences, eg economic geology, geophysics",Less than 20% (one day per week),Academia or research institute,10 000 or more employees,Strongly preferr open-source options,Daily,"Transparency and mathematical auditability of the underlying physics/algorithms, Extensibility (ability to write custom plugins/scripts), Better interoperability and alignment with open data standards",No,"Yes, more than one","Yes, more than one",One other,Partially supported (done occasionally/informally during working hours),"Purely unfunded, volunteer in-kind developer time",Excited or safe,Excited or safe,Nervous,Excited or safe,Anxious or exposed,Anxious or exposed,So-so,Hopeful,Hopeful,Hopeful,So-so,Excited or safe,3 to 5,"Lack of institutional time, permission, or career incentives",A few of them,"Created issues or enhancment requests, Typos and small fixes to documentation, Non-critical bug fixes",Never,1,"No, I code but I don't use AI for programming tasks",5,4,3,1,Indifferent or unaware,None of the above,No,No,No,No,Fragile / At risk of severe maintainer burnout or code rot,
5/18/2026 18:45:19,Europe,"Applied sciences, eg economic geology, geophysics",Less than 20% (one day per week),Academia or research institute,1000 to 9999 employees,Lean toward open-source options,Daily,"Transparency and mathematical auditability of the underlying physics/algorithms, Extensibility (ability to write custom plugins/scripts)",No,"Yes, more than one","Yes, more than one",There are no other core contributors,Partially supported (done occasionally/informally during working hours),Public academic grants or government-funded research initiatives,So-so,Hopeful,Hopeful,So-so,Nervous,So-so,Hopeful,Hopeful,So-so,So-so,Nervous,Nervous,1 or 2,"No barriers, or the need did not arise",Most of them,"Created issues or enhancment requests, Typos and small fixes to documentation, Non-critical bug fixes",Never,3,"No, I code but I don't use AI for programming tasks",2,4,4,3,Enthusiastic (Viewed as a core competitive advantage),"Expressed a preference for open source software, Defined a clear and visible open source strategy",No,No,No,No,Moderately sustainable (Stable but reliant on a few key individuals/companies),
5/18/2026 19:42:15,Europe,"Applied sciences, eg economic geology, geophysics",More than 50%,Academia or research institute,1000 to 9999 employees,Strongly preferr open-source options,Daily,"Cost / No licensing fees, Transparency and mathematical auditability of the underlying physics/algorithms, Better interoperability and alignment with open data standards",No,"Yes, more than one","Yes, all of them",There are no other core contributors,Fully supported and done during my paid organizational working hours,Public academic grants or government-funded research initiatives,Excited or safe,Hopeful,So-so,Hopeful,So-so,So-so,So-so,So-so,So-so,So-so,So-so,So-so,3 to 5,"Lack of institutional time, permission, or career incentives",All of them,"Created issues or enhancment requests, Typos and small fixes to documentation, More substantial fixes to documentation or comments, Non-critical bug fixes, Critical bug fixes, Features, Added new tests, CI/CD, infrastructure or devops support",Weekly,4,"Yes, occasionally",2,2,4,2,Indifferent or unaware,None of the above,No,No,No,No,Moderately sustainable (Stable but reliant on a few key individuals/companies),
5/19/2026 0:04:17,Australasia,"Applied sciences, eg economic geology, geophysics",Between 20% and 50%,Academia or research institute,1000 to 9999 employees,Lean toward open-source options,Daily,"Transparency and mathematical auditability of the underlying physics/algorithms, Extensibility (ability to write custom plugins/scripts), There are no proprietary alternatives",No,"Yes, one","Yes, one",More than 5 others,Fully supported and done during my paid organizational working hours,Public academic grants or government-funded research initiatives,Hopeful,Hopeful,Hopeful,Hopeful,So-so,Hopeful,So-so,So-so,So-so,So-so,So-so,So-so,1 or 2,"No barriers, or the need did not arise",All of them,"Created issues or enhancment requests, CI/CD, infrastructure or devops support",Daily,7,"Yes, frequently",3,4,4,4,"Supportive but passive (Permitted, but not actively strategized)",None of the above,No,No,No,No,Moderately sustainable (Stable but reliant on a few key individuals/companies),
5/19/2026 2:20:44,Australasia,"Applied sciences, eg economic geology, geophysics",More than 50%,Operating company,10 000 or more employees,Neutral / No weight,Daily,"Transparency and mathematical auditability of the underlying physics/algorithms, Extensibility (ability to write custom plugins/scripts), Better interoperability and alignment with open data standards","Yes, once",No,,,,,,,,,,,,,,,,,None,"Lack of institutional time, permission, or career incentives",,,Daily,3,"Yes, frequently",1,1,3,3,Indifferent or unaware,None of the above,"Yes, with negative effects on us",No,"Yes, with negative effects on us","Yes, with negative effects on us",Moderately sustainable (Stable but reliant on a few key individuals/companies),
5/19/2026 9:46:41,Europe,"Software engineering, computer science, data science",Less than 20% (one day per week),Operating company,10 000 or more employees,Strongly preferr open-source options,Rarely,"Transparency and mathematical auditability of the underlying physics/algorithms, Extensibility (ability to write custom plugins/scripts), Better interoperability and alignment with open data standards",No,No,,,,,,,,,,,,,,,,,1 or 2,"Overly complex contribution pipelines (e.g., confusing CLA sign-offs, rigid CI/CD testing), Lack of clear developer documentation or onboarding guidance",None of them,Non-critical bug fixes,Daily,5,"No, I don't code",4,3,5,4,"Supportive but passive (Permitted, but not actively strategized)","Expressed a preference for open source software, Defined a clear and visible open source strategy, Defined a public position on open source","Yes, with negative effects on us","Yes, with no effect on us","Yes, with negative effects on us","Yes, with negative effects on us",Fragile / At risk of severe maintainer burnout or code rot,
5/19/2026 11:57:02,Europe,"Well / field / site related (operations, drilling)",Less than 20% (one day per week),Service or technology company,100 to 999 employees,Strongly prefer proprietary options,Rarely,"Transparency and mathematical auditability of the underlying physics/algorithms, Extensibility (ability to write custom plugins/scripts), There are no proprietary alternatives","Yes, multiple times",No,,,,,,,,,,,,,,,,,None,"Lack of institutional time, permission, or career incentives, Overly complex contribution pipelines (e.g., confusing CLA sign-offs, rigid CI/CD testing), No barriers, or the need did not arise",,,Continuously,6,"Yes, occasionally",5,5,5,5,Actively hostile (Explicitly banned or heavily discouraged),None of the above,No,No,"Yes, with negative effects on us","Yes, with negative effects on us",Moderately sustainable (Stable but reliant on a few key individuals/companies),
5/19/2026 12:03:01,Europe,"Software engineering, computer science, data science",More than 50%,Service or technology company,1 to 9 employees,Lean toward proprietary options,Weekly,"Cost / No licensing fees, Transparency and mathematical auditability of the underlying physics/algorithms","Yes, multiple times",No,,,,,,,,,,,,,,,,,None,"Lack of institutional time, permission, or career incentives, Overly complex contribution pipelines (e.g., confusing CLA sign-offs, rigid CI/CD testing), Lack of clear developer documentation or onboarding guidance",,,Daily,8,"Yes, frequently",2,2,5,5,Enthusiastic (Viewed as a core competitive advantage),"Defined a clear and visible open source strategy, Implemented an Open Source Program Office (OSPO) or similar open source team",No,No,No,No,Fragile / At risk of severe maintainer burnout or code rot,
